ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
HEA,,,1000,0.0,-1.10456250359,"[0.7393755391047023, -4.99514795331744e-09, 0.0251639422259851, -0.002207312906156787, 0.03966831932092994, -0.28844409405370897, 0.3534291735288517, 0.48026572479550617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4661716510639664, -0.15299648561259632, 0.10872374654816488, 1.241389357918766e-07, 0.0, 0.0, -0.0008821793931698529, 0.19634961106942983, 0.038831875386905905, 0.5890486459547755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HEA,,,10000,0.0,-1.104566454967,"[0.741591599069891, 9.190585285992677e-08, 0.05850473728944161, -0.003981574050425958, 0.0, 0.07222180990760219, 0.2053267276024478, 0.20662856910764377, 2.9073193484119943e-06, 0.0, 0.0, 0.0, 0.0, 1.453659674205997e-06, -0.0005409206465486563, 0.20588264361836828, 0.11099012944744649, 6.452116806826891e-06, 0.021633869366719717, -0.003984715417044659, -4.681337853654911e-08, -0.2338161016444416, -1.2258863667378776e-06, -0.30174282907086125, 0.0, 0.0, 2.8707864060554085e-05, -1.5994381405165846e-05, 0.0, 0.0, 0.0, 0.0]"
HEA,,,10000,1e-06,-1.104564666088,"[0.7412580080593032, -4.809287441699479e-09, 0.051868416010351984, 0.002002407397810331, -0.005645303033937449, -0.04317739887952419, 0.21611709693158068, 0.26191962381041833, 2.602367543752076e-08, -6.033564802775178e-09, 1.3379153578548415e-05, -5.1312722408450455e-05, 0.005920995565518518, 0.00027281922587131166, -0.05714435650144632, 0.2732542753574452, 0.10497797350104632, 1.375149377008281e-08, 0.012713121383891147, 0.002055726695108849, -1.4524528504344128e-05, 0.17508205613677144, 7.712138270496173e-06, 1.449488724639681, 3.0147392681357393e-09, 1.1291996848112046e-08, 2.8582652481142892e-05, 3.796673669762259e-05, 0.0008369844780407936, 0.0008176304645434226, 1.9716420588081136e-07, 2.3546298996615263e-07]"
HEA,,,10000,2e-06,-1.104562877869,"[0.7410494169480566, -3.2087253945738285e-09, 0.04730965339334451, -1.93110141381612e-07, 0.0008589411264195784, -3.140785939375264, 0.3717683330862249, 0.2770089713797381, 5.054350753488894e-09, 1.916023290347451e-08, -5.480927488948703e-08, 2.9834103077674286e-07, -6.1725430623540525e-06, 0.00012245334521966027, 0.16084160790095162, 0.20937093665364215, 0.10080117823796002, -6.781959810369665e-08, 0.006534989358619615, -6.290220201994873e-07, 0.00013053400218404718, 0.15525801912971823, 0.0008866827892638443, 0.09647381756957826, -3.302103469836643e-08, -4.1404246345638554e-08, -3.475694715125187e-08, -1.8849068710300373e-07, -0.00015725596032758977, -0.0005761416519762893, -0.0005687738084307861, -0.00017992906823069383]"
HEA,,,10000,5e-06,-1.104557509869,"[0.7412533217559256, 6.015033466007005e-08, 0.05190140248253772, 4.118747323833186e-07, -0.00014794501116872937, 0.3851303935530572, 0.3158337940536165, 0.1296120179832076, 6.20207705823781e-08, 6.684673568800683e-08, 3.588779417228052e-07, -5.287101037120289e-06, 0.0004326961317002111, 0.00013674033762325585, 0.18779388859406765, 0.1277386644341103, 0.10501008660949196, -7.154552680351541e-08, 0.012763574588020906, 5.885259447072152e-06, -0.0002759743933050195, 0.3985917181716714, 0.00040703533517272636, 0.7780102783867736, 4.2261376334859075e-08, -7.017793132838885e-08, 5.314667391608199e-08, 4.597497414634362e-07, 0.00033879431279072107, -6.191566600305477e-05, -0.00014288210884114036, -0.0002781978138530059]"
HEA,,,10000,1e-05,-1.104548561801,"[0.7414163771697633, -4.239404516087737e-09, 0.05538625797031317, 0.0046249045626878225, -4.463894036688732e-06, -2.4551799156573124, 0.21060128149899343, -0.38436355280708523, 1.4620343575464504e-08, 3.489811144438638e-08, 2.5289654634927763e-05, -5.421534930118442e-05, -0.010752549976468656, -0.010547260002825173, 0.622640888748919, -0.41163471241034455, 0.10817779289666157, -6.238373173327853e-08, 0.017456391395099004, 0.004643755928752071, 0.00013373745288889103, 0.0706290664410544, -0.01224758200946851, 1.3787098642093267, 0.0, 0.0, -0.00011261964409250454, -0.00015422877462070988, 0.0024279810594139235, 0.0027464521096353944, -0.011896859325022215, -4.141066139311051e-05]"
HEA,,,10000,2e-05,-1.104530688845,"[0.7409258472637343, 4.614577153494526e-08, 0.045055235022155915, 6.239986175249493e-07, -0.0004335400864018536, 1.7465382579832602, 0.19012165023816174, 0.21256924539315217, -3.564162589940432e-08, -4.459273651561158e-08, -6.79611110230909e-08, 6.976972740432108e-08, -1.3065593949692026e-05, 0.0008760091399226234, -0.019152302341895074, 0.21211131213991335, 0.09874600560776181, 1.1988395523765475e-08, 0.0035062924319437276, 5.420949177012972e-07, -0.0014061348650650533, -0.24198999328046705, -0.002486995944502297, 0.2972186700806212, 3.223495576719691e-08, 1.785750862199284e-08, 0.0, -6.752725574368973e-08, 0.00023721777273935174, -0.00027368166368565375, -0.0013107840953793639, -0.0010351631046393631]"
HEA,,,10000,5e-05,-1.104477060246,"[0.7408028791898589, 2.642544067923787e-07, 0.04309994627958991, 0.0018409679658371407, 0.001078600695911187, -0.9748872487943265, 0.21243459827595518, 1.1777553853739837, -9.979987744140857e-09, 2.1944080251575736e-07, -1.7828842290874444e-05, -5.132322304209026e-06, 0.0003992433259742952, 0.0007270008114329963, -0.9739816887418402, 1.1847795441268263, 0.09638909608582966, -1.7130901324923233e-07, 0.00026962531923883384, 0.0017401142319322122, -0.00042616501135986546, -3.0807742827083184, 0.001754274061090202, -0.1717363576766055, 1.0972040125787868e-07, 6.930089215341652e-07, -8.203501110712478e-05, -0.00010726533889954956, 0.0041060262538025055, 0.003164958925104133, 0.001009170089649934, 0.0005166414532982762]"
HEA,,,10000,0.0001,-1.104387352737,"[0.7430462135365112, -2.2775598980311522e-07, -0.08312258623312038, 0.0006033104572738294, 0.0014397206092548907, 1.2716958921614516, 0.21808606848917278, 1.3394779348719967, 4.1359568552607476e-07, -9.272106368829203e-07, -5.3666068982229364e-05, 4.4850114681258894e-05, -0.0006193947761695265, -0.0006776261976184316, 1.7812044705958863, 1.5758024267735409, 0.13276177875108752, 9.583705748526744e-07, 0.05421753825004945, 0.0005254815847370662, 0.0005470903655557772, 0.9301609439582663, 0.0019521287646026555, -1.0247722503325436, 0.0, 0.0, -7.607812756128242e-05, -0.00011766183264770065, -0.0007515881845712245, -0.0021073940971894113, -0.03547211672889594, -0.03404744449833781]"
HEA,,,10000,0.0002,-1.104208959857,"[0.7408308589886314, -8.156255689449861e-09, 0.0493611710274559, 0.0010828226191059984, 1.707847439879325e-05, -1.1904173306796253, 0.00857884358468803, -0.00566220750381081, -5.745872402436138e-07, -5.510064778095803e-07, -5.258141700080168e-05, 0.0010751161220749772, 6.940741439921753e-05, 0.00029395019390594996, 0.6235037350817147, -0.6144762282511154, 0.1021000910183216, -4.032523792134855e-07, 0.008732753216020996, 1.041448478205297e-05, 0.0007623543467671347, 2.2201880750694993, -9.63737037283708e-07, 0.2220140410381643, -9.382882385302664e-08, -2.7414043300392655e-07, 0.0, 0.0, 0.007357848641864341, 0.008270497244180955, -0.0012775526091279165, -0.0016317586248696097]"
HEA,,,10000,0.0005,-1.103675134072,"[0.739443142354562, 3.357732252699465e-07, 0.020014944879284832, 0.00014657184599555312, -0.00010956730935886814, 0.5610057708841805, 0.2121999217474747, 2.724160676538513, 4.628409443381019e-07, 0.0, 0.0, 0.0, 0.001666443167124252, 0.001425047239930333, 0.6270551159432114, -0.4153159994523675, 0.07634573112810905, 6.376698175673658e-06, -0.02944218428449283, -0.0001462828761590198, 0.0028203043357024364, 0.2995794222417879, 0.0010741163878463635, 0.36272290741356106, 1.1107516795044117e-08, 0.0, 0.0, 0.0, -0.020591442053616515, -0.017754274886071786, 0.000391467218633225, -0.0005676110604566349]"
HEA,,,10000,0.001,-1.102787697584,"[0.7386364633421902, 6.390175016792505e-06, 0.018189138395033066, -0.0056104541216765265, -0.005862389846907594, 0.25981311577827987, 0.20557922703087644, -0.1219796541701675, 5.253537289396363e-06, 0.0, -2.3600750197658963e-06, 7.315029884532052e-05, -0.04135009090024432, -0.048204088663029124, 0.3240922737695646, -0.12190441396750291, 0.07105289841137949, -0.0003568868063863579, -0.03621777424929433, -0.005661096558381251, -0.004698766762269204, 2.090008309881253, -0.03193950128726478, 0.915441151702844, 0.0, 0.0, 6.686879222670029e-06, 1.0841855107043774e-05, 0.0031869242218051756, -0.001325271167298625, 0.003972162099172959, 0.036718752827779026]"
HEA,,,10000,0.002,-1.101229385301,"[0.7377033324314539, -1.2765208665649091e-05, -0.0047518130455256324, 1.572861852569822, 0.0010664662634088111, -1.1591438617168515, 3.141592653589793, 0.08050806133455324, 1.233563080847797e-05, 1.4168995671427512e-05, 0.03240935814315203, 0.001246237715713469, -1.5686577826153507, -1.5687497408839355, -3.141592653589793, 0.08072404858895804, 0.024603597270904, 1.578255857264516e-05, -0.1058184304028881, 1.5714231478871838, -0.0009444954917035559, 0.37165699022043475, -0.00020372633762533898, -2.2922283188188457, 0.0, 0.0, -5.7472281995368925e-05, -0.0001391481952029445, -0.003531285086526534, -0.0034500152562093097, -0.005897047370428822, -0.005557601594623958]"
HEA,,,10000,0.005,-1.096182747563,"[0.8069370818556945, 1.473217715213712e-08, -0.38947914000271683, 0.00038900540263782986, -1.9202157456841324e-05, 0.6141191684895719, -0.0005286422187417762, 0.00015504476221959177, 0.0, 0.0, 0.0, 0.0, -4.4911312150506226e-05, -5.017339018863095e-05, -0.0006258444211088388, 0.00014109013227037756, -0.33714826197260644, 0.0, -0.606495998996277, 0.0003834951969714104, -8.777508475602958e-09, 0.3656724576085157, 2.3447356920319488e-07, 0.4800368213635775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HEA,,,10000,0.01,-1.089573341884,"[0.8586185811226458, -1.5600677140624446, 0.55267909716559, 1.5710307832365282, 0.003502835924201769, 0.0017903361684913927, -3.1393241044144893, -0.0015468805468526873, 0.03746347760888775, 0.00022367204486021391, 0.00043838837474895274, 0.00038971234371304475, 0.00011796357270290399, -0.0011881970453379667, 0.001965659515565408, -0.0016279119201187038, -0.38456280164329004, -1.5612051826416122, -0.7336501228280574, 1.5705724978343112, 0.021651725516482142, -3.141592653589793, 0.033350180239384214, 3.141592653589793, 1.857837027323764e-05, 0.0, 0.0009013897971756949, 1.8350946452340964e-05, -0.001354370988385777, 0.024555774355531072, 0.02384259545060223, -0.011411348626304583]"
UCCSD,,,1000,0.0,-1.104566455168,"[3.178842748739622, 0.0372498969314836, -0.37079117106278847]"
UCCSD,,,10000,0.0,-1.104566455168,"[3.1788426687267277, 0.037249951326719925, -0.3707911708751922]"
UCCSD,,,10000,1e-06,-1.104559513748,"[0.037245373048627524, 3.1788447901407153, -0.37078893383725114]"
UCCSD,,,10000,2e-06,-1.104552572556,"[0.037240899623796515, 3.1788468387365443, -0.3707865538555888]"
UCCSD,,,10000,5e-06,-1.104531750343,"[0.037227358585051336, 3.1788531988154873, -0.3707797070823318]"
UCCSD,,,10000,1e-05,-1.104497051203,"[0.03720479045649052, 3.1788637795804293, -0.37076810787187725]"
UCCSD,,,10000,2e-05,-1.104427669975,"[0.03715949425767324, 3.1788849228721623, -0.37074508948432333]"
UCCSD,,,10000,5e-05,-1.104219662618,"[0.03702452822606712, 3.178947705491649, -0.37067580325120564]"
UCCSD,,,10000,0.0001,-1.103873437566,"[0.036801383646556926, 3.1790508707562966, -0.3705603886696195]"
UCCSD,,,10000,0.0002,-1.103182685395,"[0.03636243996639994, 3.1792511258175384, -0.370329465178042]"
UCCSD,,,10000,0.0005,-1.101123930928,"[0.035097760005805154, 3.179808308846569, -0.3696362366637804]"
UCCSD,,,10000,0.001,-1.097737146303,"[0.03315223588445454, 3.180601303882625, -0.3684799025606177]"
UCCSD,,,10000,0.002,-1.091126465165,"[0.029771282681324156, 3.18175851537549, -0.3661658055732562]"
UCCSD,,,10000,0.005,-1.072524886622,"[0.022411943560634057, 3.1828501957892286, -0.3592235287689547]"
UCCSD,,,10000,0.01,-1.045191775338,"[0.015071417877074444, 0.03865274401080507, -0.3476344381111459]"
UCCSDT,,,1000,0.0,-1.104566455168,"[3.178842748739622, 0.0372498969314836, -0.37079117106278847]"
UCCSDT,,,10000,0.0,-1.104566455168,"[3.1788426687267277, 0.037249951326719925, -0.3707911708751922]"
UCCSDT,,,10000,1e-06,-1.104559513748,"[0.037245373048627524, 3.1788447901407153, -0.37078893383725114]"
UCCSDT,,,10000,2e-06,-1.104552572556,"[0.037240899623796515, 3.1788468387365443, -0.3707865538555888]"
UCCSDT,,,10000,5e-06,-1.104531750343,"[0.037227358585051336, 3.1788531988154873, -0.3707797070823318]"
UCCSDT,,,10000,1e-05,-1.104497051203,"[0.03720479045649052, 3.1788637795804293, -0.37076810787187725]"
UCCSDT,,,10000,2e-05,-1.104427669975,"[0.03715949425767324, 3.1788849228721623, -0.37074508948432333]"
UCCSDT,,,10000,5e-05,-1.104219662618,"[0.03702452822606712, 3.178947705491649, -0.37067580325120564]"
UCCSDT,,,10000,0.0001,-1.103873437566,"[0.036801383646556926, 3.1790508707562966, -0.3705603886696195]"
UCCSDT,,,10000,0.0002,-1.103182685395,"[0.03636243996639994, 3.1792511258175384, -0.370329465178042]"
UCCSDT,,,10000,0.0005,-1.101123930928,"[0.035097760005805154, 3.179808308846569, -0.3696362366637804]"
UCCSDT,,,10000,0.001,-1.097737146303,"[0.03315223588445454, 3.180601303882625, -0.3684799025606177]"
UCCSDT,,,10000,0.002,-1.091126465165,"[0.029771282681324156, 3.18175851537549, -0.3661658055732562]"
UCCSDT,,,10000,0.005,-1.072524886622,"[0.022411943560634057, 3.1828501957892286, -0.3592235287689547]"
UCCSDT,,,10000,0.01,-1.045191775338,"[0.015071417877074444, 0.03865274401080507, -0.3476344381111459]"
tVHA,1.0,0.0,1000,0.0,-1.07030072046,"[-6.284018340017248, -7.77996286099113e-08, 1.7819846797137135]"
tVHA,1.0,0.231191986106,1000,0.0,-1.104470139484,"[4.048783401384715, 0.17934534065431312, 1.3737564162782347]"
tVHA,1.0,0.231191986106,10000,0.0,-1.10447013834,"[4.048782918550245, 0.179344704814084, 1.3737563497835534]"
tVHA,1.0,0.231191986106,10000,1e-06,-1.104459996797,"[4.048777655449394, 0.17933696820786932, 1.3737368172444977]"
tVHA,1.0,0.231191986106,10000,2e-06,-1.104449855732,"[4.048771786226117, 0.17932851108884906, 1.3737173909471265]"
tVHA,1.0,0.231191986106,10000,5e-06,-1.104419435409,"[4.048755222258341, 0.1793043794321128, 1.3736585111820203]"
tVHA,1.0,0.231191986106,10000,1e-05,-1.104368744443,"[4.0487278988198545, 0.17926429710206865, 1.3735606552940454]"
tVHA,1.0,0.231191986106,10000,2e-05,-1.104267398389,"[4.048672201916165, 0.1791830029600782, 1.3733647394838533]"
tVHA,1.0,0.231191986106,10000,5e-05,-1.10396364703,"[4.048505477749811, 0.17893939128387273, 1.3727769818531097]"
tVHA,1.0,0.231191986106,10000,0.0001,-1.103458349236,"[4.048227470150541, 0.17853323246789035, 1.3717968706558847]"
tVHA,1.0,0.231191986106,10000,0.0002,-1.102451321419,"[4.047671695181288, 0.1777212763569088, 1.3698375140742434]"
tVHA,1.0,0.231191986106,10000,0.0005,-1.099458551752,"[4.046005073848482, 0.17528633062284518, 1.3639584360452393]"
tVHA,1.0,0.231191986106,10000,0.001,-1.094563479813,"[4.0432270968315, 0.17122717596209985, 1.3541594826540457]"
tVHA,1.0,0.231191986106,10000,0.002,-1.085110666722,"[4.037673648730776, 0.1631108238055573, 1.3345631364520738]"
tVHA,1.0,0.231191986106,10000,0.005,-1.059246157718,"[4.021059452020286, 0.13881216076088024, 1.2758638744767714]"
tVHA,1.0,0.231191986106,10000,0.01,-1.023259831495,"[0.7122033994447724, -0.10152025558927667, 1.1791345116683907]"
tVHA,1.0,0.462383972212,1000,0.0,-1.104470139484,"[4.048783338030802, 0.17934526279465546, 1.373756527469733]"
tVHA,1.0,0.624111241171,1000,0.0,-1.103655536693,"[1.1534423710972725, 0.4970069138965574, 1.341038948451315]"
tVHA,1.0,0.624111241171,10000,0.0,-1.104459825113,"[1.650105784091611, 1.174029030736075, 1.3691296102793524]"
tVHA,1.0,0.624111241171,10000,1e-06,-1.104449179917,"[1.650094509907269, 1.1740140033239825, 1.3691087852524613]"
tVHA,1.0,0.624111241171,10000,2e-06,-1.104438535211,"[1.6500845329031233, 1.1740007267350592, 1.3690890551474748]"
tVHA,1.0,0.624111241171,10000,5e-06,-1.104406604033,"[1.6500540577098772, 1.173960134383603, 1.3690285865288612]"
tVHA,1.0,0.624111241171,10000,1e-05,-1.104353395202,"[1.6500031696089157, 1.1738923836925867, 1.3689278394409514]"
tVHA,1.0,0.624111241171,10000,2e-05,-1.104247014275,"[1.6499019264641621, 1.173757553215736, 1.3687266228163244]"
tVHA,1.0,0.624111241171,10000,5e-05,-1.103928165157,"[1.6495969676581073, 1.1733513719936888, 1.3681225650827447]"
tVHA,1.0,0.624111241171,10000,0.0001,-1.103397727399,"[1.6490893155713737, 1.172675263551104, 1.3671159042080268]"
tVHA,1.0,0.624111241171,10000,0.0002,-1.102340506497,"[1.648073685615538, 1.1713223488731304, 1.365102272359837]"
tVHA,1.0,0.624111241171,10000,0.0005,-1.099197866442,"[1.6450296003354137, 1.1672665128598767, 1.3590623702208582]"
tVHA,1.0,0.624111241171,10000,0.001,-1.094055464066,"[1.6399608931694085, 1.1605094598031265, 1.3489956252776176]"
tVHA,1.0,0.624111241171,10000,0.002,-1.084117820834,"[1.6298459609464593, 1.147011653189419, 1.3288665228140575]"
tVHA,1.0,0.624111241171,10000,0.005,-1.05688776541,"[1.5997183476204135, 1.1066973617592752, 1.2685994652100454]"
tVHA,1.0,0.624111241171,10000,0.01,-1.018963195609,"[1.550490177332125, 1.0404352027362065, 1.1690906766806526]"
tVHA,1.0,0.785838510129,1000,0.0,-1.104459825596,"[1.650105677183785, 1.174028803653318, 1.3691297103970719]"
tVHA,1.0,0.892919255064,1000,0.0,-1.102909932866,"[1.5466086684669873, 0.9874472196833861, 1.2899013867376066]"
tVHA,1.0,1.0,1000,0.0,-1.103868739349,"[1.5839855437068382, 1.0911693164437661, 1.3387737417278247]"
tVHA,1.0,1.0,10000,0.0,-1.103868738185,"[1.583985890970634, 1.0911698211395549, 1.338774158271026]"
tVHA,1.0,1.0,10000,1e-06,-1.103855567174,"[1.5839672465413541, 1.0911425938163268, 1.3387339766227617]"
tVHA,1.0,1.0,10000,2e-06,-1.103842396989,"[1.5839487415930522, 1.0911156762519578, 1.338694014931073]"
