,ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
0,HEA,,,1000,0.0,-1.849671772973,"[0.2267038972530032, 3.067961575771627e-05, -2.996056226339143e-08, 0.0, 3.511003390241183e-08, 0.5772676325421076, 0.269903833491862, 0.18849555921538758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24529886779079288, 0.0826448477979823, 0.0, 0.0, 0.0, 0.0, -9.362675707309822e-08, 4.681337850698242e-08, -4.681337853654911e-08, 2.356194513599034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,HEA,,,10000,0.0,-1.84967177332,"[0.22670389629746315, -8.489452624726638e-09, -3.432203967205681e-09, 7.107410677282019e-09, -0.01645195267925436, 0.5850157050868021, 0.18770223014280008, 0.2353992666878876, 7.823593174535196e-09, -9.033412094119726e-10, 3.844446081765287e-09, 7.156687957160521e-09, 2.3553153481643803e-05, 2.3700179960113983e-05, 0.8853478971259714, 0.10231502106139201, 7.156670115579583e-09, -3.3962372498147735e-08, -1.0471388490399366e-08, 7.156687957160521e-09, 4.216780782400731e-10, 0.36022847221481935, -5.7605451620119174e-08, 0.27343555391796487, 3.844446081765287e-09, -5.321190325318954e-10, 3.844446081765287e-09, 7.188601211415768e-09, -0.02730536178291599, -0.031639089277396434, -0.022513965570547585, -0.034632236085447354]"
2,HEA,,,10000,1e-06,-1.849665090368,"[0.22670347051360046, -1.801124918779549e-08, 2.6463285520027763e-08, 4.617678616589368e-09, 2.238566427126758e-09, 0.5379987849941621, 0.20427938425736697, 0.2042840346744148, 4.994519038226428e-09, 5.9523495233352216e-09, -3.862567645542419e-10, 9.44096376764898e-09, 2.741033899724394e-07, 3.103891943531746e-07, 0.20428244094905926, 0.2042840289995395, 3.5176694815284433e-09, 5.254732969059928e-09, 4.538255629899766e-08, -1.062518520870629e-08, -9.45978661898196e-08, 0.23867106953158101, -1.229722427616745e-07, 0.3444323888165537, -3.517675309885958e-09, 1.693033206367132e-08, 3.517675309885958e-09, 5.204359356831201e-09, -4.411522195408599e-08, -5.178098085593971e-08, 9.236609640730774e-09, 1.5225878102868556e-08]"
3,HEA,,,10000,2e-06,-1.849658407456,"[0.22670303430607294, 6.96409038060095e-09, 2.4832936560057712e-09, -8.639089826112369e-09, 4.728982942354898e-09, -0.3931564784290974, 0.22083825499991916, 0.2205891601439931, 1.92151496610168e-08, 3.825021536839851e-09, 4.532131379027348e-09, 2.2979792581848104e-09, -3.519759831142038e-10, -3.3439473593500694e-08, -0.026808728292909055, -1.2199287399124024, -3.818173397120433e-09, 2.92483176772393e-09, 2.9247852575526213e-09, -5.157092193843476e-09, -3.006084880512587e-08, 0.0690829753613149, -2.8514704181232558e-08, 0.16870594442247455, 2.8700068226573065e-09, -3.4991090912222494e-10, 9.577957944064103e-09, -1.3906993043883135e-08, 1.6595840461132381e-07, 1.0055775843540118e-07, 1.1753413570609893e-07, 1.627703912848959e-07]"
4,HEA,,,10000,5e-06,-1.849638358963,"[0.2267017363344242, -5.952682281047057e-09, 6.768658951007497e-09, -3.5611498335470204e-10, 6.596515659836572e-09, -0.44236051120137626, 0.15122166623937547, 0.3665024109440711, -1.610997489440488e-08, -4.2952915452047763e-10, 1.912011889313616e-09, 8.998819737591819e-10, -2.9736317701465082e-08, -3.159073918782231e-08, 0.828869423349927, 0.044871812795257635, 9.373638766555389e-10, 3.796514830700843e-09, -9.3534338022716e-09, 6.907361103478381e-10, -6.053873791809529e-09, 0.23561941688530857, 3.796514830700843e-09, 0.7408095331191885, 2.6523594399613646e-09, -2.3286176732471735e-09, -5.001450750291707e-10, -3.462924901866701e-08, -2.9736317701465082e-08, -2.6964136254318194e-08, -1.3930473616917658e-08, -3.303405112036612e-08]"
5,HEA,,,10000,1e-05,-1.849604945618,"[0.2266995616827347, -6.768402000722053e-09, 6.393642425169588e-09, 9.906989977653462e-09, 4.729515683199556e-09, 0.24223656547198247, 0.21909477562066412, 0.21865431022441614, -8.0106390132452e-09, 1.0890859505234188e-08, 7.0235082524381464e-09, 8.126905376840637e-09, -0.06307736763326768, -0.048931337591527325, 0.21771786104183255, 0.23512980275219075, 1.6052297198539476e-08, 5.846017009418077e-09, 1.9042357901118357e-09, -1.4583704794461503e-09, -3.029658179753853e-08, 0.09440982414833168, -0.01645196778863015, 0.4681524293694334, -9.493317126515556e-10, 2.9155811182410885e-09, 1.0095349506114656e-08, 3.934251406783753e-09, -0.007514305810317513, -0.02163521716799004, -0.0178182931916265, -0.0013915261962171163]"
6,HEA,,,10000,2e-05,-1.849538121966,"[0.22669528685176094, 1.6083437645375547e-09, -7.358057987642531e-09, 2.5471626592380376e-09, 5.546164627976279e-06, 1.01483602706928, 0.21893398770788997, 0.21952271087030273, 4.685144855970311e-09, 8.52398845570818e-09, -2.028803939597887e-11, 1.414515718037132e-09, 1.1456132837460032e-07, 4.298368235736613e-06, -0.03944264964289771, -0.3723644216122144, -3.050027348100472e-08, 9.33228636538157e-09, -1.816743813514668e-09, -6.822479080980196e-09, -5.442245941961841e-08, 0.22355754616470036, 1.0570485102222797e-06, -0.03545899006551469, 4.689689563059976e-09, 3.725433956035845e-09, -1.6886411824913397e-09, 4.689689563059976e-09, 5.062114207099221e-07, 6.771256130337691e-07, 1.790304450402923e-07, 1.707948137595344e-07]"
7,HEA,,,10000,5e-05,-1.8493376753,"[0.2266823633160705, 2.9611676003380098e-08, -6.456960928342925e-09, -3.551199287655791e-09, 4.617124625196054e-08, -0.2351313064233042, 0.21527452014865583, 0.20870387828021952, -1.873196210751021e-09, 3.881639388602378e-09, -5.6473304102853584e-09, -1.7139075109907347e-11, -2.7770112868289146e-08, -1.7472560260915978e-08, -0.026861618375113465, 0.05700850185496317, -5.327017204776081e-10, 3.881639388602378e-09, -2.7401503197415726e-08, -3.34934799017784e-09, 1.395386090017115e-06, 0.3449063189529753, 1.4618591198750447e-06, 0.0647998076617059, -3.2153329381671126e-08, -2.0580986100856782e-08, -1.822123163690121e-08, -2.9209933360435617e-08, 6.235482220319441e-08, 1.670253119349531e-07, 2.1893912480329865e-07, 9.437653677405429e-08]"
8,HEA,,,10000,0.0001,-1.849003678484,"[0.22666082066926757, 6.8626121428145405e-09, -2.609797219185405e-09, -2.5085611294911513e-08, 2.1491855858382008e-07, 2.3471187260732496, 0.21553284612640566, 0.2119001606699581, -5.551733333634034e-10, 2.4337535622325062e-09, 2.47981739415204e-09, 4.4149011353364695e-12, 2.4800523682749003e-09, 2.922596558463941e-07, 1.4065756047277294, 0.290786041044058, -3.0291367585900884e-10, 2.4800523682749003e-09, 2.440716893932528e-08, -4.5680818715606507e-08, 1.0215617915977457e-06, -0.01913370055825741, 8.519810731344719e-07, -0.025998927793632876, -1.519979765085776e-08, -8.037057873883431e-09, 2.4978620659196734e-09, 3.2685055418869908e-09, -1.7484543453197238e-06, -1.6401987691121595e-06, 1.1947017651708267e-07, 7.842381635916289e-08]"
9,HEA,,,10000,0.0002,-1.84833598835,"[0.22661770577822085, 1.563719375192859e-08, 1.9229368145127417e-08, 2.804039565377968e-10, -0.016451967355414245, 0.3955474213780904, 0.4864850653857229, 0.2019691269370893, 6.936890358292991e-09, 1.199551247106014e-08, 1.903521648818349e-08, 2.804039565377968e-10, -0.027311901720188932, -0.07126612787887851, 0.3524995989637987, 0.18273669738318837, -7.88357403604416e-09, -7.85543018446154e-09, -3.7431523278610475e-09, 2.7818694489661052e-08, -0.015735323416238234, 0.3860805395387221, 0.001253379095025642, 0.22804389118186902, 6.266238695897508e-09, 1.9021229415936103e-08, 1.2785360116382063e-08, -9.154232503874862e-09, -0.02898991933938859, -0.017234238194848886, 0.0012420057648133863, -1.1497062208288176e-07]"
10,HEA,,,10000,0.0005,-1.846335343902,"[0.22648842896890115, -2.3475563727129922e-09, 1.7512708413111004e-08, 1.1402304346836142e-08, -1.967783882678332e-09, 1.614411992902042, 0.21513032394038867, 0.21564444697115995, 1.4004064192413829e-08, -1.5355377463022387e-08, 1.71202730776677e-08, -1.0158393786843334e-08, 3.5029307626818157e-07, 3.990235016131367e-07, 0.2489226699851044, 0.06435405747945594, -1.183388699385957e-08, 7.96115245004172e-09, 2.4179671003082224e-09, 1.5057715475899402e-09, 0.01616415654145805, -0.4804538836066949, -5.989651008152872e-07, -0.829153909799597, 1.139327252613213e-08, -9.422234293774439e-10, 1.183388699385957e-08, -6.684331518817848e-09, -0.042871314019131496, -0.026718771225759608, -0.02299515134002423, -0.022982997067367034]"
11,HEA,,,10000,0.001,-1.843009009457,"[0.22627304789438085, 2.0843309644641597e-08, -1.838630859438548e-08, -1.1825267264616307e-09, 0.016592050956749475, 0.3926357139248186, 0.5886783012470009, 0.2298083070943486, -9.3077228822047e-09, 2.4191935018071916e-09, -1.1427409198156958e-09, 3.1080464398469423e-09, -0.02850906819425423, -0.007346832250007685, 2.5532313538849865, 1.1813706500285615, -3.1558651058923676e-09, -4.003498524331947e-10, 3.155549210354077e-09, -3.9920823340328986e-10, 0.012737015365952438, 0.4050673935993122, 0.003610670757549478, 0.3613351366411486, 8.550789536475842e-09, 1.7437576007044552e-08, 1.8697940732799854e-08, 7.914403008784784e-09, -0.025055739952162738, -0.01687361491021458, -0.02196372003473425, -0.025589704501780657]"
12,HEA,,,10000,0.002,-1.83638651284,"[0.2258423144315066, -2.730934790841048e-09, 2.6324809333574837e-09, -3.6252314549374915e-09, 5.3681944842792435e-08, 0.17451394379467605, 0.22079674766271512, 0.2178029996204061, -9.31200617293638e-09, -9.172537744626313e-09, 1.5864948578760447e-08, 5.446732998048011e-09, -1.4195092112062487e-08, -1.4525736578853368e-08, 0.04355529918962059, -0.43835152322162285, 1.4028765327855703e-08, 2.8122571443783018e-09, -1.007615584905933e-09, 6.732928256068843e-11, 4.5954501937962306e-07, 0.5471865602361168, 4.2263482904594234e-07, 1.5725948272447259, 6.819194749288549e-11, 2.845179923484935e-09, -5.656420679540699e-10, 2.845179923484935e-09, 1.7572955310529484e-07, 2.1899993463818937e-07, 1.3332186213445172e-07, 1.5300470090049005e-07]"
13,HEA,,,10000,0.005,-1.816758386248,"[0.2245505382870187, 1.0367815881104945e-08, 3.808613828404823e-09, -2.0153797857426257e-09, -0.09817481255672177, 0.3926990585292838, 0.6033507231225252, -0.06291695535999722, 1.5169560633401172e-09, 6.136455607170189e-09, 5.4916296101494315e-09, -6.719495310857686e-10, 5.585119852306617e-09, -8.300625561047909e-09, 0.06628975225656761, -0.4305729424484927, -1.4968695244299362e-08, -1.2224242565416172e-09, 6.857563719125693e-09, -5.99887440749553e-10, 0.09817485518102229, 0.39269909340206877, -2.045525598871124e-08, 0.03930286940785607, -8.07091284432329e-09, 1.6738689411714746e-08, -1.2896198544614965e-09, 5.019672498993146e-09, 1.9377222058472948e-07, 3.114530566930244e-07, 2.75045163543895e-07, 1.9526126304458323e-07]"
14,HEA,,,10000,0.01,-1.784829445833,"[0.22239951166937866, 4.113718160905796e-09, -1.1074061761792996e-08, -1.7266834237703887e-08, -8.644507609840097e-09, 0.7897380545174357, 0.22170622899553527, 0.1820059956254334, 5.139625213404842e-09, -5.471757927256842e-09, -4.586540951422524e-09, -5.670675470080294e-10, -0.035799224783982564, -0.027238334917561405, 1.738385972964072, -1.0179964221849467, -8.77010330566353e-09, -1.0689778940595585e-08, 6.074328222414678e-10, 2.0901549180910967e-08, -0.00020239778735324423, -0.12848565174280796, -0.01645205641107822, -0.20287098752137103, -5.966501139461493e-09, -5.785199876502844e-09, -1.4360712947723917e-08, -7.662475327883283e-09, -0.03451478020299982, -0.04327753692509713, -0.01893212275056806, -0.002480644393082136]"
15,HEA,,,10000,0.02,-1.731859955218,"[0.39078102462856057, 3.572749404143995e-08, 1.0373824090827932, -1.360675563916518e-06, 3.849987369327372e-05, -1.3854859461334585, 0.43979851765179556, 0.23650116366632193, -8.800671076483751e-08, 9.699894795133402e-07, 1.9371420091822415e-07, -3.2651271249160704e-07, -3.194498302257254e-05, 3.31635323562762e-06, 0.02378409668256736, 0.4160139725307985, 0.33022551647629883, 9.607808523377927e-09, 1.070765289441248, -1.1256765137149465e-06, 0.0002460834841006486, 0.1736569431662584, 3.030797062775277e-06, -1.2551003969383154, -1.9106536047425307e-08, -8.56915178219884e-08, 3.8342279802400186e-07, 6.840450241056085e-07, -0.00027684566722282057, -5.178407976676916e-05, -1.5580115330138424e-05, 5.471471491428557e-06]"
16,HEA,,,10000,0.05,-1.561708266443,"[0.20528551520289992, -1.510252018558617e-09, -1.9326484826990678e-08, -2.8621140652723215e-09, 3.2406526867803374e-08, -0.15461225166495451, 0.30830570760553544, 0.2118180362754248, 3.6356403063973575e-09, 4.180796119125815e-09, -1.2219496153208627e-09, -7.570370709694285e-10, 2.6158776108819644e-07, 3.7471312771842985e-07, -0.04005530187171071, 0.22034780353106292, 8.869317861425658e-09, -3.2253334930481824e-08, -1.0704012098757621e-08, -1.3351768777756627e-08, -3.7834016958220347e-08, 0.3885740910405052, 5.80603765887423e-08, 0.4162610264951746, 1.2770879393739358e-08, -1.1666413226461699e-08, 1.2367427681835583e-09, 3.6356715035399812e-09, -1.694470603613253e-08, 2.0380823000996364e-08, -1.6781137990284068e-06, -1.7811950626913194e-06]"
17,HEA,,,10000,0.1,-1.350468451378,"[0.18417336565954262, -1.776952707237698e-08, 1.0920218886459086e-08, -6.737327581879742e-10, 0.030115137904861727, 0.39269852999185884, 0.33165517321333937, 0.21897518210554473, 2.0492188249590575e-10, -2.8841613386208292e-08, 4.777031092415919e-09, -6.729371255783198e-09, -0.051346740891989956, -0.021231483970715344, -0.08540384344896124, 0.21916640551367272, -6.737327581879742e-10, 4.6804491470363314e-09, 8.634620392427984e-09, -1.173470819082108e-09, 1.6859983088728155e-08, 0.38565842265203343, -1.3282141778575096e-07, 0.4735515256419217, -8.229266265184411e-10, 4.777097871910093e-09, -9.397381401320797e-10, 4.7994267710719844e-09, 1.7895887281733284e-07, 2.043980922127532e-07, 2.4011219126404675e-07, 2.551982874021027e-07]"
18,UCCSD,,,1000,0.0,-1.84967177332,"[2.6996475187884418e-09, -1.5662356685645086e-09, -0.11335194663937376]"
19,UCCSD,,,10000,0.0,-1.84967177332,"[1.7125011739231858e-08, -1.6146909724814153e-08, -0.11335196172844739]"
20,UCCSD,,,10000,1e-06,-1.849635321831,"[-1.1990625674316832e-08, -3.4924599218960293e-09, -0.11335173786144534]"
21,UCCSD,,,10000,2e-06,-1.849598871692,"[-1.0480788673443635e-08, 2.873677856608459e-09, -0.11335152496482102]"
22,UCCSD,,,10000,5e-06,-1.849489529371,"[5.706552172585317e-09, 1.9360793778836353e-08, -0.11335089797847575]"
23,UCCSD,,,10000,1e-05,-1.849307319159,"[-5.762575279732057e-09, 6.614679412877386e-10, -0.1133498267110809]"
24,UCCSD,,,10000,2e-05,-1.848942999915,"[7.79861474749008e-09, -6.2258990825753245e-09, -0.11334773712772783]"
25,UCCSD,,,10000,5e-05,-1.847850851178,"[-5.093122632000513e-10, -3.91046870853352e-09, -0.11334138936781096]"
26,UCCSD,,,10000,0.0001,-1.846033296849,"[-7.44119028880479e-09, 4.4040012150353473e-10, -0.11333082898782328]"
27,UCCSD,,,10000,0.0002,-1.842408265979,"[2.6753919081556834e-10, 5.863382446434297e-09, -0.11330967589331066]"
28,UCCSD,,,10000,0.0005,-1.83161333631,"[6.238098266585069e-09, 6.019900468462308e-09, -0.11324630312662448]"
29,UCCSD,,,10000,0.001,-1.813885961949,"[3.930479304813002e-09, -6.444782396895934e-09, -0.11314066773813572]"
30,UCCSD,,,10000,0.002,-1.779399521379,"[1.3304624390733147e-08, 1.2996170476002396e-08, -0.11292928729926682]"
31,UCCSD,,,10000,0.005,-1.683259741982,"[-2.0770051060859914e-09, 1.2970771140715343e-10, -0.11229498395178991]"
32,UCCSD,,,10000,0.01,-1.544824626104,"[-4.024064075592315e-09, 1.3222395422668069e-08, -0.11123816799824109]"
