molecule_name,energy,trotter_steps,threshold_gamma,optimal_parameters
H_2,-1.8496717733201056,1,1.0,"[0.9999999999999949, 0.5818880487705496, 0.7785278348044056]"
H_2,-1.849671773320101,1,0.5,"[0.9999999999999651, 0.5818880487704711, 0.778527834804396]"
H_2,-1.829025004798591,1,0.0,"[11.472118728143812, 16.96734921074271, 440.8229715025701]"
H_2,-1.8496717733200985,2,1.0,"[1.8038412512170885, 1.4140672593773873, 1.4733496283744356, 0.7574029342513351, 0.6858866769739781, 1.2055577200614196]"
H_2,-1.8496717733200871,3,1.0,"[2.1037502261546925, 1.8687766700290915, 1.6543852820356841, 0.8076791340447759, 1.240060970847126, 0.7902897318396548, 0.42483452074254446, 1.3265227524526013, 1.3012149506668516]"
H_2,-1.8290250047985936,2,0.0,"[9.41389097489189, 8.06857765519548, 2.856108601480134, 0.9989899482371916, 1.9288847428279352, 2.032434638828164]"
H_2,-1.849671773320088,2,0.5,"[5.667583113525927, -4.092711384152452, -1.6739523279035302, 1.6696189405080846, -3.6080961526161324, 5.16513554342211]"
H_2,-1.8290250047985963,3,0.0,"[4.79384547866459, -2.5411415552881715, 3.432022766249051, -4.430473722881887, 0.7327631836834709, 3.8703752484976417, 1.4569084337014515, 1.5984586706054986, 2.166197975463837]"
H_2,-1.8496717733200752,3,0.5,"[0.2638715019707013, 3.2091312958558245, 1.5541988535950149, 5.859623771615828, 5.508663000912374, -2.1537339810025684, 0.9799062034447679, 0.6597637531211812, 1.000000649641752]"
H_2,-1.8290250047985963,4,0.0,"[8.960729338221293, 6.0069132916587336, -3.7123889803846897, 7.975240595336973, 0.2500000015011661, 0.4999999984988339, 1.9280972450961724, -1.072479738466913, 1.168310926679721, 1.4188256121913239, 1.6688323674386636, 1.9235395953468637]"
H_2,-1.84967177332006,4,0.5,"[0.8034095001583001, 3.0598665481624545, -1.9300660428721645, 4.041530801916186, 1.4382240197015081, 3.1112307122624707, -1.9966777779061795, 2.2771655092079532, -1.6172420498726172, 3.1142242252848846, 0.75, 1.0]"
H_2,-1.849671773320087,4,1.0,"[0.8034095001583001, 3.0598665481624545, -1.9300700740362322, 4.0415500017825705, 1.438224689648565, 3.1112312558225446, -1.9966080110614308, 2.27716467430303, -1.617238114053797, 3.1142207868363596, 0.75, 1.0]"
H_2,-1.8290250047985976,5,0.0,"[-1.3561944901923448, 3.110757564130642, 1.183873163774559, 1.0, 2.318508665856686, -0.9780972450961725, -2.250718801466388, 5.754175447295753, 3.0642579083050654, 0.5970488260763277, 1.0182437512328326, 1.21824394489554, 1.4182439448955397, 1.6183303461290597, 1.8189909296233744]"
H_2,-1.84967177332004,5,0.5,"[0.13483483563249837, 3.7427576487395267, -1.0846754191925887, 3.830190096316794, 2.179068751013711, 7.852604693096856, 5.744232336471671, 1.115464962588704, 8.573957434564576, -4.951485714050596, 0.687805890547634, 1.1225049510941372, 0.6, 0.8, 1.0]"
H_2,-1.8496717733200767,5,1.0,"[0.1348338433915882, 3.7427569872455866, -1.0846756772656638, 3.830192271365717, 2.179069460310924, 7.8525964761018185, 5.744243106419884, 1.1154617443463968, 8.573965537219355, -4.951487875695222, 0.687805890547634, 1.1225049510941372, 0.6, 0.8, 1.0]"
H_2,-1.8290250047985992,6,0.0,"[1.0, 0.989735141156292, 5.712415937821842, 5.712335065510384, 7.437614848314244, 5.879110928658994, 1.3427732087115647, 3.869615771673125, 1.6780972450961724, -2.2785764460737647, 0.8333333333333334, 3.573104937962126, 1.1845388674243917, 1.2488265200255055, 1.3694226303626738, 3.104036565870438, 1.7530849063889091, 1.8694233464195982]"
H_2,-1.8496717733200216,6,0.5,"[0.03907565363479537, 4.116767771757303, -1.5174967428108403, 4.454365643429823, -1.8167196205637643, 4.641646728395564, -0.2348819558814177, 9.42477796076938, -3.464540058414202, 3.4324911643303873, 0.8439806562388079, 0.027945589601236283, -7.042371235326826, 8.766456299785437, 4.758953846865618, -3.417700991777717, 0.8333333333333334, 1.0]"
