ansatz_name,trotter_steps,threshold_gamma,max_evals,cx_error_prob,energy,optimal_parameters
HEA,,,1000,0.0,-8.85668669423,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23561944901923448, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19634954084936207, 0.22580197197676638, 0.3337942194439155, 0.18653206380689397, 0.38288160465625604, 0.41233403578366035, 0.2945243112740431, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.0, -0.37306412761378793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6970408700152353, 0.19634954084936207, 0.0, -0.42215151282612845, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.23868741059500576, -0.08283496254582462, 0.0, -0.41233403578366035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23561944901923448, 0.19634954084936207, 0.19634954084936207, 0.0, 0.0, 0.41233403578366035, 0.19634954084936207, 0.19634954084936207, 0.0, -0.41233403578366035, 0.16689710972195776, -0.11780972450961724]"
HEA,,,1000,1e-05,-8.8564429587,"[4.681337853654911e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5707963267948968, 0.7461282552275759, 0.42215151282612845, 0.0, 0.2945243112740431, -0.19634954084936207, 0.09817477042468103, -0.19634954084936207, 0.0, 0.19634954084936207, 0.0, 0.2748893571891069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41233403578366035, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7952156404399164, -0.19634954084936207, -0.09817477042468103, -0.3337942194439155, 0.19634954084936207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8050331174823845, 0.0, 0.8393942871310228, 0.0, 0.0, 0.2748893571891069, 0.0, 0.7755806863549801, 0.0, -0.3362485887045325, -0.3976078202199582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19634954084936207, -0.19634954084936207, 0.3141592653589793, -0.19634954084936207, 0.20616701789183017, 0.19634954084936207, 0.1472621579776905, -0.19634954084936207, 0.6283185307179586, 0.9424777960769379, 0.2945243112740431, 0.19634954084936207]"
HEA,,,1000,0.0001,-8.854249915709,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19634954084936207, 0.19634954084936207, 0.39269908169872414, 0.3141592653589793, 0.19634954084936207, 0.20616701789183017, 0.3939262663290326, 0.3988350048502667, 0.09819231607895657, -0.4859651136021711, 0.11780972450961724, -0.09817477042468103, -3.5091308550997205e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8953539062730911, 0.0, 0.8482300164692442, 0.0, -0.48105637508093707, 0.0, -0.42215151282612845, 0.0, -0.41233403578366035, 0.0, -0.40251655874119224, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7068583470577035, 0.0, -0.3976078202199582, 0.8796459430051422, 0.8325220532012952, 0.21598449493429828, -0.48105637508093707, 0.0, -0.4270602513473625, 0.0, -0.31902873397204345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.5046968597992005, 0.0, -0.35201545683473645, 0.0, -0.4266282823574941, 0.19634954084936207, 0.19634954084936207, 0.0, -0.3078760800517998, 0.0, -0.47123889803846897]"
HEA,,,1000,0.001,-8.83237650689,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2945243112740431, 0.19634954084936207, 0.09817477042468103, -0.19634954084936207, 0.2945243112740431, 0.19634954084936207, -0.19634954084936207, -1.6787885742620459, 0.8443030256522569, 0.0, 0.9032078879070655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09817477042468103, -0.19634954084936207, -0.2945243112740431, 0.19634954084936207, 0.0, -0.41233403578366035, 0.07363107781851078, -0.19634954084936207, 0.12762720155208535, -0.19634954084936207, 0.8663923489978101, 0.7731263170943632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.43196898986859655, 0.0, 0.19634954084936207, 0.0, -0.43196898986859655, 0.0, -0.39269908169872414, 0.0, -0.41233403578366035, 0.0, -0.3976078202199582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.40251655874119224, 0.0, -0.40251655874119224, 0.2945243112740431, 0.19634954084936207, -0.2945243112740431, 0.2748893571891069, 0.7875457365004881, 0.8338719562946345, 0.0, -0.41233403578366035]"
HEA,,,5000,0.0,-8.85668669423,"[5.992112452678287e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.19634954084936207, 0.11780972450961724, 0.2945243112740431, 0.2748893571891069, 1.9634954084936207, 1.170243263462198, 0.10602875205865551, 0.19634954084936207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09817477042468103, -0.09817477042468103, 0.2945243112740431, 0.19634954084936207, 0.0, -0.39269908169872414, 0.3141592653589793, 0.19654589039021142, -0.33399056898476487, 0.23561944901923448, 0.02454369260617026, -0.14726215563702155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007853981633974483, 0.38484510006474965, 0.3337942194439155, 0.19634954084936207, 1.3744467859455345, 0.9817477042468103, 0.19634954084936207, 0.23561944901923448, 0.21598449493429828, -0.23561944901923448, 0.7412195167063418, 0.22580197197676638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -7.490140565847857e-08, 0.12016591899980959, -0.041626102660064765, 0.22246402978232724, 0.08835729338221293, 0.553705705195201, 0.07304481554023741, 0.0868257669635879, 0.09817064708432319, 0.11780972450961726, 0.2790519704511696, 0.19655452977000876, 0.2921956057195697]"
HEA,,,5000,1e-05,-8.856442958711,"[6.344805941396826e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.913759283432541e-09, 0.2962148567810171, 0.2107345434789471, 0.08704243901927676, -0.22516071005403648, 0.7893095612193539, 0.9032078879070655, 0.08194671579994864, -0.19636253501193005, 0.3505780993724933, -0.2228545379979105, 0.4310327604555736, 0.35075891277616883, -4.619662453823376e-06, -7.931007426746032e-08, 0.0, 0.0, 0.0, -9.771001149751111e-08, 3.933779683666032e-07, 0.0, 0.0, 0.0, 3.221971767115575e-08, 1.541368966871048e-07, -0.33502217145755875, 1.6072503838264287, 0.18583305530520833, -0.19554260335389048, 0.0003248540641995175, -0.4544712220908653, -0.2975089079888761, 0.19715517892857684, 0.16009601883228974, -0.43295508249595216, 0.19636084094874368, 0.27374067321809736, -1.1928235169826032e-07, 8.933486765486732e-07, 0.0, 0.0, 0.0, 0.0, -1.6242703209975876e-07, 2.0303379012469847e-06, 0.0, 0.0, 0.0, 0.0, -0.02748534296308656, -0.392380734867498, 0.09091527172819167, 0.12265150437139033, 0.021179731965794583, 0.8613010618536139, 0.7814711725804611, 0.7800307696598003, -0.02549723609018552, -0.3861862525307087, 0.1941476403437143, -0.03139897604120575, -1.8725351414619645e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.7227323301450075e-07, -0.011342075249110243, -0.4116193568424214, 0.006381360077604268, -0.4015486936250895, 0.0009586411710498053, -0.4019101411858921, 0.1925505425336694, -0.0017542119466773941, -0.1560824109452727, -0.41312732940843555, -0.00787022433718446, -0.3848126146583297]"
HEA,,,5000,0.0001,-8.85424991624,"[1.0562269871650403e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1266421196427096e-07, -0.04244539798572715, -0.3746340079914383, 0.23515797640702885, -0.4079161711145497, 0.2945243112740431, -0.19681250626237626, 0.006560111327496253, -0.4071041477247209, 0.1977809794433508, 0.19426576881932767, 0.12074182963093882, 0.1970947062864632, -4.627330430770041e-05, 1.6005139564885263e-07, -1.6912960288158704e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8813862989534114, -0.4250379534590334, 0.04802149265154135, -0.48421444780849265, -0.02748893571891069, -0.2768528525976004, 0.02748893571891069, -0.3239305951402268, 0.13742482227047986, -0.19634954084936207, 0.11626375869331754, -0.4800653469467395, -4.5065684785708377e-07, 4.262065992615993e-06, 0.0, 0.0, 0.0, 0.0, -1.4533683343390955e-06, 4.0623898229017004e-05, 0.0, 0.0, 0.0, 0.0, 0.8324182218635489, -0.19280773855068373, -0.1963033935881415, -9.163940032773106e-05, 0.19586499460654616, 0.19924455973227748, -0.09634971679984913, -0.0014944369585172604, 0.19783862831231025, 0.192516586873156, 0.19393699571765954, 0.20124563164212173, -4.135182485043976e-08, -7.745664572543627e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026912094953653626, -0.39645648162854685, 0.11777214166432373, -0.19586499460654616, 1.3369772760853773, -0.19634954084936207, 0.16226404058110222, 0.10558164791495075, 0.10181669606896916, -0.19637305122804793, -0.03650857244678006, -0.4139302062271749]"
HEA,,,5000,0.001,-8.832376621084,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1280758490330726e-09, 1.5700735963485715, 1.566469975207239, 0.2964766425132438, 0.200291552125873, 0.07889975809764908, 0.20518028501680885, -0.0033210266295626138, -0.37424553268184363, 0.05050370673553182, 0.1031204737353362, 0.0023069139006237794, -0.41659500801611193, -0.00045872231382787607, -6.471061509971848e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0005361532586941827, -0.3747858526598542, 0.0043510783041047565, -0.3794639700861027, 0.0968294879300193, -0.19907347522997737, 0.289163871345357, 0.19568198460873076, 0.19594922777698284, 0.201730670828009, 0.21105288294889862, 0.20443435229470056, -1.3295620867052564e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00041349210701729244, 3.975820191726701e-05, 0.0, 0.0, 0.0, 0.196472536670097, 0.0002780343641939448, 0.18224615879816944, 0.1940888864865845, 0.0029914841411783867, 0.19779801042058462, 0.192106797035477, 0.00074187016660147, 0.14889926938251175, 0.1936589758600386, -0.0029934357478362443, 0.19593734805975427, 1.8583674317289964e-08, 1.0353698415954957e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1319816537449264e-07, 0.19652028627835838, 0.39295127226659565, 0.392249154837353, 0.21449079012176764, 0.15973845325290353, -0.01783469286849927, 0.005369790797772681, -0.0025194341091095865, -0.0032287693067355088, 0.005175303852020191, -0.1602768146346697, 0.0009273193707478437]"
HEA,,,5000,0.01,-8.631836114533,"[3.496198507491616e-08, 7.915091206302461e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.00015052980678288122, 0.01017301438397799, 0.1811772463287588, -0.20631228882332, 0.17905221325357237, 0.21628850771661176, 0.18827413189275333, 0.2656661557244608, 0.3141561516921738, -0.5134435192682039, 0.8130948372352003, 0.5835308139834883, -0.08389664463402118, -0.1809874134777355, 0.00433108358645066, -7.999455693307497e-05, 0.0, 0.0, 0.0, -0.0005461081362355698, 0.0009801940906792284, 0.0, 0.0, 0.0, 0.0, 1.5707991047577827, 0.12274977133084287, 1.166061366254311, 0.7895145622591941, 0.022991362728676485, 0.017737401780137857, -0.301881555035357, -0.11818535207473849, -0.3874671189641937, 0.7501620165769725, -0.08408913429721024, 0.03344807280607597, -0.2211131323192161, -0.00010072285551114351, -0.000844971127610134, 0.0, 0.0, 0.0, 0.0, -0.0001552028164762597, 0.0036928479692898693, 0.0, 0.0, 0.0, 0.0, 2.0266280499637475, -0.5381519428039134, 0.13069944942031927, -0.00498601680634706, 0.2631606492212962, -0.19042648631041426, 0.04324648982860575, 0.6810345391191738, 1.2201902580603423, 0.9426739134965789, -0.19818897182576958, 0.28125107065886157, -3.8623970211351844e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.5709536553767094, 0.29686078811171707, 2.9030045151687416, -0.15551126708621174, -0.6556545227713604, -0.13580092136112773, -0.5433451624581481, 0.7724564110902838, 0.7944049839513608, 0.26833764700089857, 0.18046895797646095, 0.16136931436243152, 0.11216681953985717]"
UCCSD,,,1000,0.0,-8.856686694226,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
UCCSD,,,1000,1e-05,-8.796996119828,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
UCCSD,,,1000,0.0001,-8.300737072585,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
